customer_id,last_purchase_date
18,"2020-03-05 00:00:00"
30,"2020-10-31 00:00:00"
40,"2020-10-31 00:00:00"
27,"2020-10-16 00:00:00"
31,"2020-11-24 00:00:00"
49,"2020-12-20 00:00:00"
59,"2020-12-19 00:00:00"
38,"2020-04-22 00:00:00"
42,"2020-11-27 00:00:00"
35,"2020-12-17 00:00:00"
25,"2020-10-21 00:00:00"
44,"2020-12-08 00:00:00"
1,"2020-07-24 00:00:00"
20,"2020-12-29 00:00:00"
24,"2020-10-25 00:00:00"
10,"2020-06-25 00:00:00"
43,"2020-05-02 00:00:00"
9,"2020-01-29 00:00:00"
53,"2020-12-30 00:00:00"
4,"2020-02-04 00:00:00"
39,"2020-04-11 00:00:00"
55,"2020-12-21 00:00:00"
12,"2020-11-23 00:00:00"
45,"2020-10-19 00:00:00"
46,"2020-12-12 00:00:00"
3,"2020-05-16 00:00:00"
58,"2020-07-15 00:00:00"
33,"2020-12-27 00:00:00"
34,"2020-10-13 00:00:00"
51,"2020-11-17 00:00:00"
37,"2020-09-27 00:00:00"
50,"2020-06-10 00:00:00"
19,"2020-04-14 00:00:00"
22,"2020-10-30 00:00:00"
21,"2020-12-09 00:00:00"
36,"2020-04-07 00:00:00"
57,"2020-06-09 00:00:00"
26,"2020-12-10 00:00:00"
15,"2020-12-18 00:00:00"
52,"2020-12-27 00:00:00"
47,"2020-10-06 00:00:00"
16,"2020-11-20 00:00:00"
2,"2020-11-21 00:00:00"
13,"2020-11-28 00:00:00"
5,"2020-11-12 00:00:00"
48,"2020-04-27 00:00:00"
32,"2020-10-26 00:00:00"
8,"2019-09-21 00:00:00"
17,"2020-09-11 00:00:00"
54,"2020-03-25 00:00:00"
6,"2020-10-23 00:00:00"
28,"2020-10-20 00:00:00"
29,"2020-12-08 00:00:00"
7,"2020-08-26 00:00:00"
14,"2020-12-20 00:00:00"
11,"2020-06-24 00:00:00"
23,"2020-11-27 00:00:00"
41,"2020-11-12 00:00:00"
56,"2020-07-05 00:00:00"
